"attribute","value"
"objectClass","top"
"cn","test "
"givenName","test"
"distinguishedName","CN=test\ ,OU=OU_MU7_HelpDesk,OU=OU_Zone9_Elever,OU=OU_Zone9,OU=OU_IT-SKP,OU=OU_Main,DC=ITSKP-ODENSE,DC=dk"
"instanceType","4"
"whenCreated","20220627095303.0Z"
"whenChanged","20231108100412.0Z"
"displayName","test "
"uSNCreated","9547"
"memberOf","CN=SG_MU7_Helpdesk,OU=OU_MU7_HelpDesk,OU=OU_Zone9_Elever,OU=OU_Zone9,OU=OU_IT-SKP,OU=OU_Main,DC=ITSKP-ODENSE,DC=dk"
"uSNChanged","16546958"
"name","test "
"objectGUID","{5f898ccb-4f03-4b6b-860b-48d049c422be}"
"userAccountControl","512"
"codePage","0"
"countryCode","0"
"homeDirectory","\\ITSKP-FILSERVER\Personlig Drev$\testusr"
"homeDrive","P:"
"pwdLastSet","0"
"primaryGroupID","513"
"objectSid","S-1-5-21-2298156952-1352395965-3044376735-2062"
"accountExpires","9223372036854775807"
"sAMAccountName","testusr"
"sAMAccountType","805306368"
"objectCategory","CN=Person,CN=Schema,CN=Configuration,DC=ITSKP-ODENSE,DC=dk"
"dSCorePropagationData","16010101000000.0Z"
"lastLogonTimestamp","133306086164488353"
"mail","testusr@edu.sde.dk"
"objectClass","person"
"objectClass","organizationalPerson"
"objectClass","user"
