"attribute","value"
"objectClass","top"
"objectClass","organizationalPerson"
"sn","Badiei"
"objectClass","user"
"givenName","Nima"
"distinguishedName","CN=Nima Badiei,OU=OU_MU8_HelpDesk,OU=OU_Zone9_Elever,OU=OU_Zone9,OU=OU_IT-SKP,OU=OU_Main,DC=ITSKP-ODENSE,DC=dk"
"instanceType","4"
"whenCreated","20220629090142.0Z"
"whenChanged","20250317091533.0Z"
"displayName","Nima Badiei"
"uSNCreated","46429"
"cn","Nima Badiei"
